,zipcode,population,land_area,pop_density,water_area,income,nearby_schools
0,98103.0,43690.0,4.64,9415.948275862069,0.66,92079.2947,12.0
1,98115.0,45920.0,6.58,6978.723404255319,2.11,109682.0867,18.0
2,98052.0,63200.0,20.1,3144.278606965174,0.83,128852.4797,18.0
3,98038.0,33330.0,66.49,501.2783877274779,0.39,94050.8899,8.0
4,98034.0,46310.0,9.13,5072.289156626505,1.69,90669.5548,16.0
5,98117.0,31850.0,3.94,8083.756345177665,0.61,102095.3462,7.0
6,98023.0,46990.0,10.32,4553.29457364341,1.39,68203.5544,17.0
7,98042.0,44510.0,28.41,1566.7018655403026,1.21,74971.6315,14.0
8,98133.0,41010.0,7.1,5776.056338028169,0.07,57958.9154,18.0
9,98118.0,43140.0,6.25,6902.4,2.64,61688.6784,15.0
10,98059.0,37040.0,19.98,1853.8538538538537,0.06,93353.9564,10.0
11,98006.0,39330.0,10.69,3679.1393826005615,0.75,157913.8651,15.0
12,98155.0,31940.0,7.57,4219.286657859973,0.66,76355.1567,13.0
13,98058.0,40630.0,18.93,2146.3285789751717,0.83,70663.2367,17.0
14,98074.0,27690.0,10.68,2592.696629213483,1.55,180392.2347,11.0
15,98027.0,26600.0,55.79,476.7879548306148,1.13,122790.6182,9.0
16,98125.0,34800.0,5.39,6456.400742115028,1.54,68721.773,12.0
17,98033.0,35020.0,9.29,3769.644779332616,1.71,178084.9708,15.0
18,98056.0,33670.0,7.52,4477.393617021276,1.55,76475.4891,9.0
19,98053.0,21100.0,28.37,743.7433909058865,0.18,164682.4268,8.0
20,98092.0,41730.0,44.63,935.0212861304055,0.71,73882.945,14.0
21,98001.0,30930.0,18.59,1663.7977407208177,0.32,63983.9216,13.0
22,98075.0,24000.0,9.48,2531.645569620253,1.63,192986.1224,7.0
23,98126.0,19350.0,3.07,6302.931596091205,0.69,76437.4771,6.0
24,98144.0,26430.0,3.4,7773.529411764706,1.75,85068.099,10.0
25,98106.0,22990.0,5.5,4180.0,0.32,53516.1776,9.0
26,98004.0,30610.0,7.03,4354.1963015647225,1.61,254763.4276,9.0
27,98116.0,22890.0,2.96,7733.108108108108,0.73,108778.5924,10.0
28,98065.0,14680.0,74.09,198.13740045890134,0.87,128773.3553,7.0
29,98029.0,26010.0,8.95,2906.1452513966483,0.02,127424.6872,12.0
30,98199.0,19730.0,4.18,4720.095693779905,1.5,145409.8643,3.0
31,98122.0,27810.0,2.31,12038.961038961039,1.22,89902.9093,14.0
32,98028.0,20900.0,5.66,3692.579505300353,0.72,94609.0141,6.0
33,98198.0,34700.0,7.79,4454.428754813864,0.9,57402.0022,10.0
34,98146.0,26420.0,4.65,5681.720430107526,0.68,61578.6798,15.0
35,98055.0,20820.0,4.78,4355.648535564854,0.1,59878.8173,11.0
36,98166.0,20870.0,5.67,3680.7760141093477,1.56,84202.4096,7.0
37,98003.0,42660.0,11.62,3671.256454388985,0.11,50548.9971,26.0
38,98031.0,39770.0,7.5,5302.666666666667,0.1,56754.3996,15.0
39,98040.0,24180.0,6.32,3825.9493670886072,6.79,274061.2026,10.0
40,98168.0,35180.0,8.89,3957.2553430821145,0.16,44192.3431,12.0
41,98112.0,19850.0,3.16,6281.645569620253,1.48,235748.3238,8.0
42,98107.0,21950.0,2.2,9977.272727272726,0.27,87177.2818,4.0
43,98136.0,14590.0,2.3,6343.478260869566,0.84,120567.2577,2.0
44,98008.0,24670.0,5.5,4485.454545454545,2.85,116675.9504,11.0
45,98072.0,24190.0,18.13,1334.2526199669057,0.03,122936.7987,6.0
46,98178.0,23590.0,4.85,4863.917525773196,1.02,54145.4032,8.0
47,98030.0,34210.0,7.12,4804.775280898876,0.09,50136.1572,12.0
48,98177.0,19230.0,5.7,3373.684210526316,1.38,136631.5789,5.0
49,98022.0,19950.0,405.93,49.146404552509054,2.45,69526.7633,8.0
50,98105.0,24660.0,4.13,5970.944309927361,2.48,118758.1098,6.0
51,98077.0,13210.0,17.31,763.1426920854998,0.22,170717.5041,5.0
52,98045.0,14210.0,336.99,42.16742336567851,6.04,94331.1203,6.0
53,98011.0,23250.0,8.19,2838.827838827839,0.0,88081.6598,16.0
54,98019.0,11830.0,76.33,154.98493383990566,0.82,99603.3149,4.0
55,98108.0,22600.0,7.48,3021.3903743315504,0.37,54571.6091,11.0
56,98002.0,31620.0,7.15,4422.377622377622,0.13,43078.1676,13.0
57,98119.0,19130.0,2.44,7840.163934426229,0.63,122344.3842,6.0
58,98005.0,18800.0,7.5,2506.6666666666665,0.01,149795.4784,8.0
59,98188.0,24670.0,7.55,3267.5496688741723,0.29,45630.8053,7.0
60,98014.0,6830.0,45.31,150.73935113661443,1.79,100593.5103,6.0
61,98007.0,25490.0,4.38,5819.634703196347,0.01,85339.5931,10.0
62,98032.0,34040.0,16.72,2035.885167464115,0.29,53444.3114,5.0
63,98102.0,20490.0,1.31,15641.221374045801,0.25,103034.8965,5.0
64,98109.0,21860.0,2.0,10930.0,0.42,121443.8563,4.0
65,98070.0,9490.0,36.92,257.0422535211267,12.83,99215.5945,5.0
66,98010.0,5120.0,15.05,340.19933554817277,1.02,90472.2008,2.0
67,98024.0,4810.0,23.92,201.08695652173913,0.52,110378.629,2.0
68,98148.0,10300.0,3.13,3290.7348242811504,0.0,49450.8637,8.0
69,98039.0,3150.0,1.44,2187.5,4.3,832521.8543,2.0
