,zipcode,population_2014,population_2015,land_area,pop_density_14,pop_density_15,water_area,income_2014,income_2015,nearby_schools
0,98103.0,43690.0,44790.0,4.64,9415.948275862069,9653.017241379312,0.66,92079.2947,97883.4975,12.0
1,98115.0,45920.0,46850.0,6.58,6978.723404255319,7120.060790273556,2.11,109682.0867,118273.5749,18.0
2,98052.0,63200.0,65300.0,20.1,3144.278606965174,3248.7562189054725,0.83,128852.4797,137855.8973,18.0
3,98038.0,33330.0,33730.0,66.49,501.2783877274779,507.2943299744323,0.39,94050.8899,98403.7037,8.0
4,98034.0,46310.0,46730.0,9.13,5072.289156626505,5118.2913472070095,1.69,90669.5548,94829.1913,16.0
5,98117.0,31850.0,32510.0,3.94,8083.756345177665,8251.269035532994,0.61,102095.3462,110053.0658,7.0
6,98023.0,46990.0,47680.0,10.32,4553.29457364341,4620.15503875969,1.39,68203.5544,64101.3536,17.0
7,98042.0,44510.0,44650.0,28.41,1566.7018655403026,1571.6297078493487,1.21,74971.6315,78393.497,14.0
8,98133.0,41010.0,41880.0,7.1,5776.056338028169,5898.591549295775,0.07,57958.9154,62063.3667,18.0
9,98118.0,43140.0,43740.0,6.25,6902.4,6998.4,2.64,61688.6784,63853.3561,15.0
10,98059.0,37040.0,37820.0,19.98,1853.8538538538537,1892.8928928928929,0.06,93353.9564,98219.1704,10.0
11,98006.0,39330.0,39630.0,10.69,3679.1393826005615,3707.202993451824,0.75,157913.8651,158930.3771,15.0
12,98155.0,31940.0,32470.0,7.57,4219.286657859973,4289.299867899604,0.66,76355.1567,79544.9324,13.0
13,98058.0,40630.0,40510.0,18.93,2146.3285789751717,2139.989434759641,0.83,70663.2367,73115.8046,17.0
14,98074.0,27690.0,28270.0,10.68,2592.696629213483,2647.0037453183522,1.55,180392.2347,182422.0725,11.0
15,98027.0,26600.0,26770.0,55.79,476.7879548306148,479.83509589532173,1.13,122790.6182,130487.2294,9.0
16,98125.0,34800.0,35640.0,5.39,6456.400742115028,6612.244897959184,1.54,68721.773,70923.4795,12.0
17,98033.0,35020.0,36400.0,9.29,3769.644779332616,3918.191603875135,1.71,178084.9708,183527.6749,15.0
18,98056.0,33670.0,33790.0,7.52,4477.393617021276,4493.351063829788,1.55,76475.4891,80285.7793,9.0
19,98053.0,21100.0,21400.0,28.37,743.7433909058865,754.3179414874868,0.18,164682.4268,166680.8205,8.0
20,98092.0,41730.0,43190.0,44.63,935.0212861304055,967.7347075957875,0.71,73882.945,84595.3935,14.0
21,98001.0,30930.0,31710.0,18.59,1663.7977407208177,1705.7557826788595,0.32,63983.9216,66546.4467,13.0
22,98075.0,24000.0,24600.0,9.48,2531.645569620253,2594.936708860759,1.63,192986.1224,208360.9,7.0
23,98126.0,19350.0,19810.0,3.07,6302.931596091205,6452.768729641694,0.69,76437.4771,81792.7872,6.0
24,98144.0,26430.0,26310.0,3.4,7773.529411764706,7738.235294117647,1.75,85068.099,89071.5468,10.0
25,98106.0,22990.0,23030.0,5.5,4180.0,4187.272727272727,0.32,53516.1776,56605.2059,9.0
26,98004.0,30610.0,31250.0,7.03,4354.1963015647225,4445.234708392603,1.61,254763.4276,256281.9381,9.0
27,98116.0,22890.0,24180.0,2.96,7733.108108108108,8168.918918918919,0.73,108778.5924,112455.1486,10.0
28,98065.0,14680.0,15250.0,74.09,198.13740045890134,205.83074638952624,0.87,128773.3553,148273.6177,7.0
29,98029.0,26010.0,27630.0,8.95,2906.1452513966483,3087.150837988827,0.02,127424.6872,131407.1373,12.0
30,98199.0,19730.0,20130.0,4.18,4720.095693779905,4815.789473684211,1.5,145409.8643,158352.1855,3.0
31,98122.0,27810.0,29100.0,2.31,12038.961038961039,12597.402597402597,1.22,89902.9093,89354.503,14.0
32,98028.0,20900.0,21650.0,5.66,3692.579505300353,3825.0883392226146,0.72,94609.0141,98613.2432,6.0
33,98198.0,34700.0,35210.0,7.79,4454.428754813864,4519.8973042362,0.9,57402.0022,58249.7012,10.0
34,98146.0,26420.0,26750.0,4.65,5681.720430107526,5752.68817204301,0.68,61578.6798,63707.1799,15.0
35,98055.0,20820.0,21210.0,4.78,4355.648535564854,4437.238493723849,0.1,59878.8173,61151.497,11.0
36,98166.0,20870.0,21010.0,5.67,3680.7760141093477,3705.4673721340387,1.56,84202.4096,92068.7729,7.0
37,98003.0,42660.0,43820.0,11.62,3671.256454388985,3771.0843373493976,0.11,50548.9971,51769.2272,26.0
38,98031.0,39770.0,39990.0,7.5,5302.666666666667,5332.0,0.1,56754.3996,58900.1531,15.0
39,98040.0,24180.0,24650.0,6.32,3825.9493670886072,3900.3164556962024,6.79,274061.2026,303918.0782,10.0
40,98168.0,35180.0,35340.0,8.89,3957.2553430821145,3975.2530933633293,0.16,44192.3431,46164.6727,12.0
41,98112.0,19850.0,20200.0,3.16,6281.645569620253,6392.4050632911385,1.48,235748.3238,246439.9514,8.0
42,98107.0,21950.0,23040.0,2.2,9977.272727272726,10472.727272727272,0.27,87177.2818,91231.741,4.0
43,98136.0,14590.0,14980.0,2.3,6343.478260869566,6513.04347826087,0.84,120567.2577,119017.4164,2.0
44,98008.0,24670.0,25120.0,5.5,4485.454545454545,4567.272727272727,2.85,116675.9504,123579.1701,11.0
45,98072.0,24190.0,24390.0,18.13,1334.2526199669057,1345.284059569774,0.03,122936.7987,126230.9388,6.0
46,98178.0,23590.0,23750.0,4.85,4863.917525773196,4896.907216494846,1.02,54145.4032,55478.7234,8.0
47,98030.0,34210.0,34860.0,7.12,4804.775280898876,4896.067415730337,0.09,50136.1572,51173.389,12.0
48,98177.0,19230.0,19740.0,5.7,3373.684210526316,3463.157894736842,1.38,136631.5789,144564.6154,5.0
49,98022.0,19950.0,20120.0,405.93,49.146404552509054,49.56519596974848,2.45,69526.7633,73353.8682,8.0
50,98105.0,24660.0,25160.0,4.13,5970.944309927361,6092.009685230024,2.48,118758.1098,151926.1256,6.0
51,98077.0,13210.0,13210.0,17.31,763.1426920854998,763.1426920854998,0.22,170717.5041,176183.657,5.0
52,98045.0,14210.0,14440.0,336.99,42.16742336567851,42.84993619988724,6.04,94331.1203,103995.102,6.0
53,98011.0,23250.0,23710.0,8.19,2838.827838827839,2894.993894993895,0.0,88081.6598,89576.4326,16.0
54,98019.0,11830.0,11940.0,76.33,154.98493383990566,156.42604480545003,0.82,99603.3149,103285.1718,4.0
55,98108.0,22600.0,22870.0,7.48,3021.3903743315504,3057.486631016043,0.37,54571.6091,54081.2654,11.0
56,98002.0,31620.0,32230.0,7.15,4422.377622377622,4507.692307692308,0.13,43078.1676,44446.7218,13.0
57,98119.0,19130.0,19370.0,2.44,7840.163934426229,7938.524590163935,0.63,122344.3842,130419.5569,6.0
58,98005.0,18800.0,18860.0,7.5,2506.6666666666665,2514.6666666666665,0.01,149795.4784,141636.6285,8.0
59,98188.0,24670.0,25100.0,7.55,3267.5496688741723,3324.5033112582782,0.29,45630.8053,47611.2644,7.0
60,98014.0,6830.0,6800.0,45.31,150.73935113661443,150.0772456411388,1.79,100593.5103,105764.9123,6.0
61,98007.0,25490.0,26280.0,4.38,5819.634703196347,6000.0,0.01,85339.5931,89244.3182,10.0
62,98032.0,34040.0,34390.0,16.72,2035.885167464115,2056.818181818182,0.29,53444.3114,54976.9142,5.0
63,98102.0,20490.0,20890.0,1.31,15641.221374045801,15946.564885496182,0.25,103034.8965,116983.7935,5.0
64,98109.0,21860.0,22970.0,2.0,10930.0,11485.0,0.42,121443.8563,126632.473,4.0
65,98070.0,9490.0,9690.0,36.92,257.0422535211267,262.4593716143012,12.83,99215.5945,95967.304,5.0
66,98010.0,5120.0,5180.0,15.05,340.19933554817277,344.18604651162786,1.02,90472.2008,96553.4351,2.0
67,98024.0,4810.0,4910.0,23.92,201.08695652173913,205.26755852842808,0.52,110378.629,111853.0364,2.0
68,98148.0,10300.0,10420.0,3.13,3290.7348242811504,3329.0734824281153,0.0,49450.8637,51730.3371,8.0
69,98039.0,3150.0,3230.0,1.44,2187.5,2243.0555555555557,4.3,832521.8543,691843.7908,2.0
